Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0118","Millet","2021","2021","ha","265401","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0118","Millet","2021","2021","kg/ha","1230","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0118","Millet","2021","2021","t","326443","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0118","Millet","2022","2022","ha","267071","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0118","Millet","2022","2022","kg/ha","1271.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0118","Millet","2022","2022","t","339462","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0118","Millet","2023","2023","ha","227934","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0118","Millet","2023","2023","kg/ha","1363.8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0118","Millet","2023","2023","t","310846.76","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2019","2019","ha","193997","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2019","2019","kg/ha","16046.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2019","2019","t","3112947","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2020","2020","ha","188098","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2020","2020","kg/ha","16650","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2020","2020","t","3131830","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2021","2021","ha","198788","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2021","2021","kg/ha","16727.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2021","2021","t","3325231","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2022","2022","ha","198253","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2022","2022","kg/ha","17204.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2022","2022","t","3410829","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2023","2023","ha","203812","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17112.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2023","2023","t","3487815.76","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0113","Rice","2019","2019","ha","1458915","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","2019","2019","kg/ha","3804.8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0113","Rice","2019","2019","t","5550878","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0113","Rice","2020","2020","ha","1473474","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","2020","2020","kg/ha","3815.3","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0113","Rice","2020","2020","t","5621710","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0113","Rice","2021","2021","ha","1477378","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","2021","2021","kg/ha","3472.8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0113","Rice","2021","2021","t","5130625","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0113","Rice","2022","2022","ha","1448800","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","2022","2022","kg/ha","3786.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0113","Rice","2022","2022","t","5486500","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0113","Rice","2023","2023","ha","1439000","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","2023","2023","kg/ha","3977.9","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0113","Rice","2023","2023","t","5724200","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0111","Wheat","2019","2019","ha","703992","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0111","Wheat","2019","2019","kg/ha","2849","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2019","2019","t","2005665","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0111","Wheat","2020","2020","ha","707505","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0111","Wheat","2020","2020","kg/ha","3088.7","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2020","2020","t","2185289","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0111","Wheat","2021","2021","ha","711067","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0111","Wheat","2021","2021","kg/ha","2991.7","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2021","2021","t","2127276","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0111","Wheat","2022","2022","ha","716978","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0111","Wheat","2022","2022","kg/ha","2991.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2022","2022","t","2144568","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","0111","Wheat","2023","2023","ha","697762","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0111","Wheat","2023","2023","kg/ha","3007.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2023","2023","t","2098462.16","A","Official figure",""
