name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nepal,2023-07-17,80.6,69.6,73.7,84.6,69.6,73.8,70.4,90.2,0.595,100,8.33,rain,0,0,13.9,11,191.8,1010.6,90.3,4,145.8,12.6,6,30,2023-07-17T05:18:35,2023-07-17T19:00:58,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-18,82.4,68,73.1,86.3,68,73.3,69.5,89.4,2.555,100,8.33,rain,0,0,15.9,5.8,180.6,1011.5,89,4.4,119.1,10.3,5,10,2023-07-18T05:19:06,2023-07-18T19:00:37,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-19,86.4,70.8,76.1,92.8,70.8,77,70.1,83.3,0.122,100,8.33,rain,0,0,15,10.3,216.3,1010.7,87.4,4.7,192.3,16.7,9,10,2023-07-19T05:19:37,2023-07-19T19:00:15,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-20,86,71.1,77.1,94.3,71.1,78.3,71.6,84.1,0.11,100,4.17,rain,0,0,14.3,11.4,154.9,1010.3,70.7,4.8,239.2,20.8,9,30,2023-07-20T05:20:08,2023-07-20T18:59:51,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-21,84.2,71.2,76.1,89.7,71.2,77,70.9,84.8,0.362,100,8.33,rain,0,0,14.3,11.4,201.3,1013,83.1,4.3,232.7,20.2,8,30,2023-07-21T05:20:39,2023-07-21T18:59:26,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-22,86.6,71.4,76.1,93.4,71.4,77.4,70.3,83.7,0.118,100,4.17,rain,0,0,25.3,13.9,177.3,1016.3,82.8,4.4,203.2,17.6,7,30,2023-07-22T05:21:10,2023-07-22T18:59:00,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-23,85.4,70.2,75.1,91,70.2,76.2,70.9,87.6,0.217,100,8.33,rain,0,0,15.7,10.3,169.2,1015.7,83.4,4.4,201.8,17.4,7,30,2023-07-23T05:21:42,2023-07-23T18:58:32,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-24,82.4,69.4,74.8,86.3,69.4,75.4,69.4,84.3,0.106,100,8.33,rain,0,0,15.4,10.3,193.1,1013.1,83.7,4.4,179.3,15.3,7,30,2023-07-24T05:22:14,2023-07-24T18:58:03,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-25,78.8,69.4,72.6,78.8,69.4,72.6,69,89.3,0.835,100,8.33,rain,0,0,14.5,8.1,81.2,1013.8,90.4,4.2,110.9,9.4,4,10,2023-07-25T05:22:46,2023-07-25T18:57:33,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-26,82.4,69.8,74.8,85.2,69.8,75.1,68.8,82.3,0,0,0,rain,0,0,12.3,9.2,231.1,1013.9,85.6,4.7,168.2,14.6,6,10,2023-07-26T05:23:18,2023-07-26T18:57:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-07-27,83.1,69.1,74.6,87.3,69.1,75,69.3,84.3,0.433,100,8.33,rain,0,0,15.4,9.2,262.6,1012.5,85.7,4.6,175.1,15.1,6,10,2023-07-27T05:23:50,2023-07-27T18:56:28,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-28,84.2,69.3,74.4,89.7,69.3,74.8,69.9,86.8,0.429,100,8.33,rain,0,0,12.5,8,230.5,1009.7,87.7,4.3,174.1,15.1,6,30,2023-07-28T05:24:22,2023-07-28T18:55:54,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-29,78.8,69.8,74.2,78.8,69.8,74.2,70.7,89,0.57,100,8.33,rain,0,0,14.5,10.3,220.8,1009.1,87.7,4.4,94.5,8.1,3,30,2023-07-29T05:24:54,2023-07-29T18:55:19,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-30,80.6,70.5,74.4,83.9,70.5,74.6,71,89.5,0.536,100,8.33,rain,0,0,15.7,11.4,226.6,1008.3,81.7,4.5,174.6,15.1,7,30,2023-07-30T05:25:27,2023-07-30T18:54:42,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-07-31,84.2,69.8,76.3,89.3,69.8,77.7,71.6,86.1,0.004,100,4.17,rain,0,0,16.6,9.2,179.7,1007.3,80.4,4.9,229.3,20,9,30,2023-07-31T05:25:59,2023-07-31T18:54:04,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-01,86,70,76.3,93.8,70,77.7,71.7,86.8,1.059,100,4.17,rain,0,0,16.8,15,183.9,1007.2,85.3,4.6,190.8,16.6,8,30,2023-08-01T05:26:31,2023-08-01T18:53:25,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-02,84.6,70.6,76.5,90.3,70.6,78,71.2,84.7,0.709,100,4.17,rain,0,0,13.6,12.8,268,1007.4,88.2,5,166.8,14.3,6,30,2023-08-02T05:27:03,2023-08-02T18:52:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-03,82.4,72.3,76.4,87.2,72.3,77.1,71.6,85.7,0.079,100,4.17,rain,0,0,13.4,20.2,214.6,1007.6,85.5,5,152.9,13.2,5,10,2023-08-03T05:27:36,2023-08-03T18:52:04,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-04,82.8,70.9,76.1,88.6,70.9,77.1,70.4,82.9,0,0,0,rain,0,0,17.9,12.8,197.5,1010,82.3,5.4,52.1,4.7,2,30,2023-08-04T05:28:08,2023-08-04T18:51:21,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-08-05,82.4,70.1,74.8,86.3,70.1,75.2,69.5,84.4,0.079,100,4.17,rain,0,0,14.3,12.7,205.9,1011.3,85,4.6,122.9,10.8,4,10,2023-08-05T05:28:40,2023-08-05T18:50:38,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-06,75.4,69.6,72.3,75.4,69.6,72.3,70.1,92.9,0.748,100,8.33,rain,0,0,13.2,8.1,359.8,1008.6,89,3.9,132.9,11.6,6,10,2023-08-06T05:29:12,2023-08-06T18:49:53,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-07,79.3,68.8,72.9,79.3,68.8,72.9,70.7,93.5,0.551,100,8.33,rain,0,0,15,10.3,144.5,1005.3,88,3.6,96.1,8.3,4,10,2023-08-07T05:29:44,2023-08-07T18:49:07,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-08,78.8,69.3,73.4,78.8,69.3,73.4,70.5,91.2,2.519,100,8.33,rain,0,0,17.2,9.2,171.3,1007.3,92.9,4.1,34.2,2.9,1,10,2023-08-08T05:30:15,2023-08-08T18:48:20,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-09,80.6,71.2,74.8,84.6,71.2,75.4,71.2,89,0.252,100,4.17,rain,0,0,15.4,8,237,1010.7,88.2,4.2,141,12.3,6,10,2023-08-09T05:30:47,2023-08-09T18:47:33,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-10,83.2,70.1,75.9,90,70.1,77.3,70.4,83.8,0.004,100,4.17,rain,0,0,15,13.9,203.1,1012.5,79.8,5.1,144.2,12.5,6,30,2023-08-10T05:31:19,2023-08-10T18:46:44,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-11,84.1,71.4,75.9,90.1,71.4,76.6,70.7,84.8,0.087,100,4.17,rain,0,0,15,13.9,181.2,1012,84.5,4.4,159.4,13.7,7,30,2023-08-11T05:31:50,2023-08-11T18:45:54,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-12,78.8,70.6,73.1,78.8,70.6,73.1,71.9,96,1.965,100,8.33,rain,0,0,14.1,6.9,276.7,1009.8,89,3.7,81.4,7.2,6,10,2023-08-12T05:32:21,2023-08-12T18:45:03,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-13,71.6,66.9,70.1,71.6,66.9,70.1,69.2,97.2,1.52,100,8.33,rain,0,0,19,9.2,177.7,1010.4,93.5,3.4,32.6,2.8,2,10,2023-08-13T05:32:52,2023-08-13T18:44:11,0.89,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-14,75.2,66.9,71.1,75.2,66.9,71.1,67.4,88.6,0.039,100,4.17,rain,0,0,15,5.8,284,1013.3,89.3,4,136.8,11.8,7,10,2023-08-14T05:33:23,2023-08-14T18:43:18,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-15,84.3,67.8,75.2,88.5,67.8,76.5,69.4,83.1,0,0,0,rain,0,0,16.8,18.3,271,1012.6,72.4,4.3,189.6,16.5,7,30,2023-08-15T05:33:54,2023-08-15T18:42:24,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-08-16,82.4,69.4,75.9,87.2,69.4,76.7,70.2,83.3,0,0,0,rain,0,0,15.7,8.1,243.1,1012,74.9,4.4,201.5,17.4,6,30,2023-08-16T05:34:25,2023-08-16T18:41:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-08-17,87.8,70.5,77.8,93.7,70.5,79.6,70,78,0.114,100,4.17,rain,0,0,18.6,10.3,197.5,1012.5,78.3,5.1,224.8,19.6,9,30,2023-08-17T05:34:55,2023-08-17T18:40:34,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-18,84.2,70.5,76.3,89.7,70.5,77.4,70.7,83.7,0.283,100,4.17,rain,0,0,14.5,8.1,193.6,1013.3,75.8,4.6,190.4,16.4,7,30,2023-08-18T05:35:26,2023-08-18T18:39:38,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-19,86,71.9,77.5,94.4,71.9,79.2,70.8,80.9,0.008,100,4.17,rain,0,0,15,12.7,207,1013.7,85.9,4.6,187.6,16.2,7,30,2023-08-19T05:35:56,2023-08-19T18:38:41,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-20,84.6,70.3,76.1,89.1,70.3,77,69.5,81.1,0.063,100,4.17,rain,0,0,13.9,11.4,182.6,1014.2,77.6,4.6,144.5,12.6,6,30,2023-08-20T05:36:26,2023-08-20T18:37:43,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-21,75.2,68,70.8,75.2,68,70.8,69.6,96.1,1.65,100,8.33,rain,0,0,9.8,6.9,162.9,1013,93.8,3,54.8,4.7,2,10,2023-08-21T05:36:56,2023-08-21T18:36:44,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-22,80.6,68,71.8,83.3,68,71.9,68.6,90.5,0.295,100,4.17,rain,0,0,11.4,10.3,171.3,1012.3,91.3,4.1,103.5,8.9,5,10,2023-08-22T05:37:25,2023-08-22T18:35:44,0.2,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-23,73.4,68,70.1,73.4,68,70.1,69.3,97.1,1.39,100,8.33,rain,0,0,11.2,5.8,290.4,1010.8,92.2,2.8,72.2,6.2,3,10,2023-08-23T05:37:55,2023-08-23T18:34:44,0.23,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-24,80.6,69,72.8,83.3,69,72.9,69.9,91.2,0.618,100,4.17,rain,0,0,12.1,9.2,209.2,1008,90.1,3.7,48.9,4.2,2,10,2023-08-24T05:38:24,2023-08-24T18:33:43,0.25,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-25,77,68.8,71.2,77,68.8,71.2,69.9,95.7,0.748,100,8.33,rain,0,0,13.2,11,105.6,1008,92.2,3.6,75.9,6.6,4,10,2023-08-25T05:38:53,2023-08-25T18:32:41,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-26,78.8,68,72.6,78.8,68,72.6,69.5,90.6,0.559,100,8.33,rain,0,0,12.5,12.7,259.3,1008.1,92.8,4.2,58.3,5.1,2,10,2023-08-26T05:39:22,2023-08-26T18:31:39,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-27,83.2,69.3,74.8,88.9,69.3,75.6,69,83.1,0.024,100,4.17,rain,0,0,18.8,11.4,244.4,1007.3,84.2,4.9,199,17.2,8,30,2023-08-27T05:39:51,2023-08-27T18:30:36,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-28,84.6,66.7,75.5,88,66.7,76.1,67,76.4,0.028,100,4.17,rain,0,0,16.6,12.8,225.1,1008.5,69.7,4.5,204.7,17.6,8,10,2023-08-28T05:40:20,2023-08-28T18:29:33,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-29,84.2,67.2,74.8,85.8,67.2,75.2,67.1,78,0.004,100,4.17,rain,0,0,15.2,11.4,258.1,1011.4,86,5,206.7,17.8,7,10,2023-08-29T05:40:49,2023-08-29T18:28:29,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"44454099999,VNKT,remote,44449099999"
Nepal,2023-08-30,84.8,69,76.2,90,69,77.3,68.6,78.2,0.118,100,8.33,rain,0,0,14.1,9.2,237.6,1013.6,75.5,4.2,223.4,19.2,8,10,2023-08-30T05:41:17,2023-08-30T18:27:24,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-08-31,82.4,70.5,75.7,86.3,70.5,76.3,69.2,80.9,0,0,0,rain,0,0,13.6,8.1,248.9,1014.7,81,4.2,192,16.8,7,10,2023-08-31T05:41:45,2023-08-31T18:26:19,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-01,84.9,70.1,76.5,90.6,70.1,77.8,69.8,80.5,0,0,0,rain,0,0,16.3,12.8,240.7,1014,71.1,4.3,228.5,19.8,7,30,2023-09-01T05:42:13,2023-09-01T18:25:13,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-02,87.2,70.3,77.5,95.1,70.3,79.2,70.8,80.6,0,0,0,rain,0,0,15,14.6,209.6,1012.8,78.5,4.4,201.4,17.2,7,60,2023-09-02T05:42:41,2023-09-02T18:24:07,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-03,86,70,77,92,70,78.5,70.8,81.8,0.161,100,8.33,rain,0,0,17.7,10.3,261.4,1012.4,81.5,4.2,207.1,17.9,8,60,2023-09-03T05:43:09,2023-09-03T18:23:01,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-04,86,66.9,75.7,88.4,66.9,76.3,66.2,73.3,0,0,0,rain,0,0,17.4,10.3,146.6,1012.8,83.7,5.4,198.1,17.1,8,30,2023-09-04T05:43:37,2023-09-04T18:21:54,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-05,82.4,70.8,76.4,85.4,70.8,77.3,68.5,77.4,0,0,0,,0,0,13.9,5.8,109.6,1013.4,86.4,4.8,166.4,14.4,6,30,2023-09-05T05:44:05,2023-09-05T18:20:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-06,87.8,67.3,77,92.4,67.3,78,67.7,74.4,0,0,0,rain,0,0,14.5,9.2,229.6,1014.2,83.2,5.1,226.4,19.4,8,30,2023-09-06T05:44:33,2023-09-06T18:19:38,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-07,87.8,65.9,74.9,91.5,65.9,75.9,67.8,80.3,0.276,100,4.17,rain,0,0,18.3,9.2,261.1,1014.2,81,4.9,220.5,18.9,9,30,2023-09-07T05:45:00,2023-09-07T18:18:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-08,80.6,68.8,73.6,83.9,68.8,73.7,69.5,87.7,2.492,100,8.33,rain,0,0,16.8,9.2,42.7,1014.1,88,4.8,158.9,13.7,7,10,2023-09-08T05:45:28,2023-09-08T18:17:22,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-09,81,69.8,73.6,83.9,69.8,73.7,69.3,87.1,0.043,100,4.17,rain,0,0,23.7,10.3,140.9,1013.5,87.5,5,95.3,8.2,5,10,2023-09-09T05:45:55,2023-09-09T18:16:13,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-10,84.2,68.8,75.3,88.5,68.8,76.4,69.2,82.6,0.071,100,4.17,rain,0,0,15.7,11.4,222.3,1012,80.8,4.8,176.5,15.3,8,30,2023-09-10T05:46:22,2023-09-10T18:15:04,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-11,84.2,68.7,75.6,88.5,68.7,76.6,69.5,82.6,1.583,100,4.17,rain,0,0,14.8,9.2,228.4,1011.1,78.7,4.4,205.6,17.9,7,30,2023-09-11T05:46:50,2023-09-11T18:13:55,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-12,82.4,68.5,73.4,86.3,68.5,73.9,69.5,88.4,1.969,100,8.33,rain,0,0,11.9,13.9,166.9,1011.7,88.6,3.6,168.9,14.6,6,30,2023-09-12T05:47:17,2023-09-12T18:12:45,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-13,87.8,66.9,75.7,92.8,66.9,77,69.5,82.9,0.811,100,8.33,rain,0,0,12.5,12.7,192.8,1012.4,72.7,4.6,223.7,19.3,8,60,2023-09-13T05:47:44,2023-09-13T18:11:36,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"44454099999,VNKT,44449099999"
Nepal,2023-09-14,86.3,67.8,76.2,92.7,67.8,77.5,70,82.6,1.551,100,4.17,rain,0,0,13,10.3,284.8,1013.8,67.8,5.3,201.6,17.4,8,60,2023-09-14T05:48:12,2023-09-14T18:10:26,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"44454099999,VNKT,remote,44449099999"
Nepal,2023-09-15,86,69.8,77.6,92.5,69.8,79,70.1,79,0,0,0,rain,0,0,14.5,14.7,212,1014.7,72.7,5.9,205.2,17.5,7,60,2023-09-15T05:48:39,2023-09-15T18:09:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT,44449099999"
Nepal,2023-09-16,86,69.8,77,89.5,69.8,78,68.5,76.2,0,0,0,rain,0,0,15.2,11.4,169.2,1015.2,61.5,4.9,204.5,17.5,8,60,2023-09-16T05:49:06,2023-09-16T18:08:06,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44454099999,VNKT"
